,listing_id,id,date,reviewer_id,reviewer_name,comments,key_words
0,15194207,106166608,10/4/2016,14087166,Miriam,"Very welcoming and pretty house, Kryshana and her boyfriend are very kind and helpful, the location is great! I recommend it to everyone!","pretty, boyfriend, helpful, great"
1,15194207,110160915,10/24/2016,72717835,Robert,"Kryshana and Mike were excellent hosts. They are both very friendly and helpful. She met us on the street the day we arrived to welcome us. The apartment has an excellent location. Besides being next to Central Park it is easy walking distance to the subway, the bus lines, and several grocery stores. Their apartment is well kept. The use of the kitchen was a big benefit. The private bedroom had a comfortable bed and a roomy closet. The shared bathroom was never a problem. I highly recommend their place.","excellent, friendly, helpful, u, welcome, u, excellent, next, central, easy, subway, bus, several, well, big, private, comfortable, never, highly, recommend"
2,15194207,111917777,11/2/2016,75064079,Poncho,Exactamente lo que se ve en el anuncio todo en buenas condiciones y excelente atención. Casi no vimos a Kryshana y Mike porque no pasan mucho tiempo en cada. Todo excelente. ,"atención, pasan"
3,15194207,112787263,11/7/2016,21868136,Marlowe,"Kryshana and Michael  were very hospitable. Their apartment was in a good location, well kept, and picturesque in the sunlight. The 2/3 subway stop is 2 blocks away and take you downtown.  Morningside Park, Central Park, Cathedral of St. John, and Amy Ruth's are all an easy walk within the neighborhood.  I'm a dog person but her cat is cool. To Kryshana and Mike, thanks again.  Monopoly and Westworld night was awesome!","hospitable, good, well, picturesque, sunlight, away, downtown, central, park, cathedral, easy, cat, monopoly"
4,15194207,113933558,11/14/2016,33066018,Lara,"Kryshana and Mike are very nice.. 
the apartment is clean and it's location is quiet good since the subway is just 2 blocks away ( 4 mins walk)... ","apartment, clean, quiet, good, away"
5,15194207,115697013,11/26/2016,103754823,Xuanzi,Kryshana is really nice and always answered our questions quickly.  We spend a good time at her place. ,"really, nice, always, quickly, good"
6,15194207,117028082,12/4/2016,30582850,Dawn,"We loved staying here.  Kryshana and Michael were very welcoming hosts, friendly, and helpful. The bedroom was large and clean.  The bed was very comfortable.  A roomy apartment for NY, you didn't feel cramped.  The building also had an elevator which was very welcomed at the end of the day after hiking around the city.  Location is great, 1 block from central park, a subway station 1 block in either direction.  We had a car and were able to park right in front of the building.  Hoping we can stay here again in May when we return.","friendly, helpful, large, clean, comfortable, roomy, also, end, great, block, central, able, right"
7,15194207,120192784,12/8/2016,71753919,Aveet,"Kryshana and Mike were very cool, friendly, nice people. Location is close to transit so easy to get into midtown by train. Their place was clean and equipped with items. They were flexible with check in and check out times which was helpful. They do have a cat but stayed in their rooms so no problems. We had the separate room and living room sofa bed so never felt crowded. Overall, was good and would recommend to others who want to be within short transit ride into mid Manhattan and who are planning on exploring the city for the majority of the stay. Great hosts!","mike, friendly, nice, close, easy, midtown, flexible, helpful, separate, never, overall, good, short, mid, great"
8,15194207,121030781,12/13/2016,43723110,Richard,Very accommodating and sweet couple. ,sweet
9,15194207,123503686,12/29/2016,4588221,Antoine,Michael was welcoming - a good communication and a vast comfortable apartment. Recommended if you want to spend time in Harlem and Central Park.,"good, comfortable, want, harlem, central"
10,15194207,124313295,1/1/2017,31400499,Alberto,"Complessivamente il soggiorno è andato bene. Kryshana e il suo ragazzo sono stati molto disponibili. Tuttavia il bagno non era molto pulito, non era presente l'asciugacapelli (diversamente da quanto specificato nell'annuncio) e non eravamo stati informati in anticipo circa la presenza di un gatto nell'appartamento.","non, un"
11,15194207,126289669,1/10/2017,107884925,Werner,"Kryshana and Mike were very accommodating hosts, and made us feel welcome from the get go. The fact that their home is only 2 blocks away from the subway was also very convenient.","u, welcome, away, subway, also"
12,15194207,127027300,1/15/2017,30835982,Hubert,"Amazing!! The emplacement is super convenient, the price dead cheap compared to what I saw, and the two hosts very very nice. They waited for me until 1am because my flight was delayed, they're not intrusive and always happy to talk or give advices. The room is quite big for NYC and includes everything you may need.","amazing, super, convenient, dead, cheap, nice, intrusive, always, happy, give, quite, big"
13,15194207,129799441,2/2/2017,6744365,Lula,"Great spot! The apartment has everything you need and Kryshana and Mike made everything super easy. Great communication, and a beautiful location close to Central Park and just a couple short blocks from the subway. I can highly recommend this place!","great, super, easy, great, beautiful, close, central, short, highly, recommend"
14,883900,105957557,10/3/2016,97323858,Jean,"Only issue was getting there initially, exact address wasn't available on the website/app after confirmation. Made getting there a little tricky. Otherwise was very accommodating. ","initially, exact, available, little, tricky, otherwise"
15,883900,124708553,1/2/2017,108296629,Tim,"Safe area and Conformable accommodations. About 1.5 from Manhattan on bus/subway for cheap commute. Otherwise light rail is about 10 bucks and takes abiut 30 mins to get to Penn Station. A bit far from Manhattan, but manageable!","safe, conformable, cheap, otherwise, light, penn, far, manageable"
